"License_Year_License_Number","Business_Name","Street_Address","City","State","Zip_Code","Business_Phone_Number","Classification_Code","Classification_Description","License_Expir_Date","Issue_Date","License_Fiscal_Year","License_Number","License_Status","License_Status_Description","Council_District","Council_District_Description","Full_Address","FID"
"2006-495","LA ESPERANZA / CASA ROMA, INC.","1636 N IRONWOOD DR","SOUTH BEND","IN","46637","(574) 273-0345","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-17T05:00:00.000Z","2006","495","RN","Renewed","SB4","COUNCIL DISTRICT 4","1636 N IRONWOOD DR, SOUTH BEND, IN 46637","16921"
"2006-1375","MC INVESTMENTS, LLC","117 S WILLIAM ST","SOUTH BEND","IN","46601","(216) 781-9110","PARK","PUBLIC PARKING FACILITY","2007-01-31T05:00:00.000Z","2008-04-15T04:00:00.000Z","2006","1375","RN","Renewed","SB2","COUNCIL DISTRICT 2","117 S WILLIAM ST, SOUTH BEND, IN 46601","16922"
"2006-3","TASTE OF MEXICO","2637 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 232-8960","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-01-31T05:00:00.000Z","2006","3","RN","Renewed","SB2","COUNCIL DISTRICT 2","2637 W WESTERN AVE, SOUTH BEND, IN 46619","16923"
"2006-1374","AMPCO SYSTEM PARKING","111 S MICHIGAN ST","SOUTH BEND","IN","46601","(574) 232-3843","PARK","PUBLIC PARKING FACILITY","2007-01-31T05:00:00.000Z","2006-08-14T04:00:00.000Z","2006","1374","RN","Renewed","SB2","COUNCIL DISTRICT 2","111 S MICHIGAN ST, SOUTH BEND, IN 46601","16924"
"2006-494","HONEY BAKED HAM CO & CAFE","2307 EDISON RD","SOUTH BEND","IN","46615","(574) 288-4267","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-17T05:00:00.000Z","2006","494","RN","Renewed","SB4","COUNCIL DISTRICT 4","2307 EDISON RD, SOUTH BEND, IN 46615","16925"
"2006-1373","MC INVESTMENTS, LLC","322 S LAFAYETTE BLVD","SOUTH BEND","IN","46601","(216) 781-9110","PARK","PUBLIC PARKING FACILITY","2007-01-31T05:00:00.000Z","2008-04-15T04:00:00.000Z","2006","1373","4N","4th Renewal Notice","SB1","COUNCIL DISTRICT 1","322 S LAFAYETTE BLVD, SOUTH BEND, IN 46601","16926"
"2006-1528","ROBERT LUMPKIN","127 ELM ST","SOUTH BEND","IN","46616","(574) 232-0633","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-12-01T05:00:00.000Z","2006","1528","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","127 ELM ST, SOUTH BEND, IN 46616","16928"
"2006-545","MICHIANA TRUCK CENTER","3610 DEAHL CT","SOUTH BEND","IN","46628","(574) 277-7300","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-09T05:00:00.000Z","2006","545","RN","Renewed","SB1","COUNCIL DISTRICT 1","3610 DEAHL CT, SOUTH BEND, IN 46628","16929"
"2006-274","7-ELEVEN","333 S LOGAN ST","SOUTH BEND","IN","46601","(574) 232-8916","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-09T05:00:00.000Z","2006","274","RN","Renewed","SB3","COUNCIL DISTRICT 3","333 S LOGAN ST, SOUTH BEND, IN 46601","16930"
"2006-23","GRANDMA AND GRANDPA'S SOULFOOD","2702 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 607-3022","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-01-05T05:00:00.000Z","2006","23","IN","Incative and no longer licensed","SB6","COUNCIL DISTRICT 6","2702 W WESTERN AVE, SOUTH BEND, IN 46619","16931"
"2006-219","FIDDLER'S HEARTH, INC","127 N MAIN ST","SOUTH BEND","IN","46601","(574) 232-2853","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-01T05:00:00.000Z","2006","219","RN","Renewed","","","127 N MAIN ST, SOUTH BEND, IN 46601","16932"
"2006-218","AMVETS POST #66","1606 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 286-0487","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-05-16T04:00:00.000Z","2006","218","RN","Renewed","SB6","COUNCIL DISTRICT 6","1606 W WESTERN AVE, SOUTH BEND, IN 46619","16933"
"2006-217","TOM & LIN'S KITCHENETTE","2221 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 289-1513","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-02-13T05:00:00.000Z","2006","217","RN","Renewed","SB3","COUNCIL DISTRICT 3","2221 S MICHIGAN ST, SOUTH BEND, IN 46613","16934"
"2006-216","BLACKTHORN GOLF CLUB","6100 NIMTZ PKWY","SOUTH BEND","IN","466286111","(574) 232-4653","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-02T05:00:00.000Z","2006","216","RN","Renewed","","","6100 NIMTZ PKWY, SOUTH BEND, IN 466286111","16935"
